sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach,group4_reach,group5_reach
alpha,1.0,kkt_greedy,0,412.46666666666664,0.6531746031746032,0.3082334559999964,20,100,0.8030303030303031,0.7588807785888076,0.8177215189873418,0.6531746031746032,0.8068376068376071,0.75
alpha,1.0,fair_greedy,0,405.1333333333333,0.7085470085470088,0.27498786800000374,20,100,0.7753535353535352,0.7527980535279805,0.7763713080168777,0.8388888888888887,0.7085470085470088,0.7123809523809523
alpha,1.0,imm,0,417.0,0.7324786324786328,0.2838362580000009,20,100,0.8050505050505051,0.7710462287104621,0.7658227848101264,0.8095238095238095,0.7324786324786328,0.7923809523809523
alpha,1.0,robust_kempe,0,410.26666666666665,0.7033755274261602,0.2728654430000006,12,60,0.7981818181818181,0.7695863746958638,0.7033755274261602,0.7968253968253968,0.7299145299145302,0.7947619047619046
alpha,1.0,repeated_greedy,0,414.8,0.7079365079365079,140.72065344,,,0.8094949494949495,0.7963503649635035,0.7645569620253163,0.7079365079365079,0.7760683760683763,0.739047619047619
alpha,1.0,mf_bwi_fair,0,395.3,0.6,4.245635139000001,,,0.7947474747474749,0.7386861313868611,0.769198312236287,0.6,0.7863247863247864,0.6619047619047618
alpha,0.5,kkt_greedy,0,412.46666666666664,0.6531746031746032,0.3082334559999964,20,100,0.8030303030303031,0.7588807785888076,0.8177215189873418,0.6531746031746032,0.8068376068376071,0.75
alpha,0.5,fair_greedy,0,405.1333333333333,0.7085470085470088,0.27498786800000374,20,100,0.7753535353535352,0.7527980535279805,0.7763713080168777,0.8388888888888887,0.7085470085470088,0.7123809523809523
alpha,0.5,imm,0,417.0,0.7324786324786328,0.2838362580000009,20,100,0.8050505050505051,0.7710462287104621,0.7658227848101264,0.8095238095238095,0.7324786324786328,0.7923809523809523
alpha,0.5,robust_kempe,0,410.26666666666665,0.7033755274261602,0.2728654430000006,12,60,0.7981818181818181,0.7695863746958638,0.7033755274261602,0.7968253968253968,0.7299145299145302,0.7947619047619046
alpha,0.5,repeated_greedy,0,414.8,0.7079365079365079,140.72065344,,,0.8094949494949495,0.7963503649635035,0.7645569620253163,0.7079365079365079,0.7760683760683763,0.739047619047619
alpha,0.5,mf_bwi_fair,0,390.5,0.584285714285714,4.189038804999996,,,0.7769696969696973,0.7379562043795619,0.7405063291139239,0.7531746031746033,0.7735042735042738,0.584285714285714
alpha,0.0,kkt_greedy,0,412.46666666666664,0.6531746031746032,0.3082334559999964,20,100,0.8030303030303031,0.7588807785888076,0.8177215189873418,0.6531746031746032,0.8068376068376071,0.75
alpha,0.0,fair_greedy,0,405.1333333333333,0.7085470085470088,0.27498786800000374,20,100,0.7753535353535352,0.7527980535279805,0.7763713080168777,0.8388888888888887,0.7085470085470088,0.7123809523809523
alpha,0.0,imm,0,417.0,0.7324786324786328,0.2838362580000009,20,100,0.8050505050505051,0.7710462287104621,0.7658227848101264,0.8095238095238095,0.7324786324786328,0.7923809523809523
alpha,0.0,robust_kempe,0,410.26666666666665,0.7033755274261602,0.2728654430000006,12,60,0.7981818181818181,0.7695863746958638,0.7033755274261602,0.7968253968253968,0.7299145299145302,0.7947619047619046
alpha,0.0,repeated_greedy,0,414.8,0.7079365079365079,140.72065344,,,0.8094949494949495,0.7963503649635035,0.7645569620253163,0.7079365079365079,0.7760683760683763,0.739047619047619
alpha,0.0,mf_bwi_fair,0,410.8333333333333,0.7504761904761904,4.141878133000006,,,0.7856565656565657,0.7671532846715327,0.7666666666666665,0.7706349206349206,0.7854700854700857,0.7504761904761904
alpha,-2.0,kkt_greedy,0,412.46666666666664,0.6531746031746032,0.3082334559999964,20,100,0.8030303030303031,0.7588807785888076,0.8177215189873418,0.6531746031746032,0.8068376068376071,0.75
alpha,-2.0,fair_greedy,0,405.1333333333333,0.7085470085470088,0.27498786800000374,20,100,0.7753535353535352,0.7527980535279805,0.7763713080168777,0.8388888888888887,0.7085470085470088,0.7123809523809523
alpha,-2.0,imm,0,417.0,0.7324786324786328,0.2838362580000009,20,100,0.8050505050505051,0.7710462287104621,0.7658227848101264,0.8095238095238095,0.7324786324786328,0.7923809523809523
alpha,-2.0,robust_kempe,0,410.26666666666665,0.7033755274261602,0.2728654430000006,12,60,0.7981818181818181,0.7695863746958638,0.7033755274261602,0.7968253968253968,0.7299145299145302,0.7947619047619046
alpha,-2.0,repeated_greedy,0,414.8,0.7079365079365079,140.72065344,,,0.8094949494949495,0.7963503649635035,0.7645569620253163,0.7079365079365079,0.7760683760683763,0.739047619047619
alpha,-2.0,mf_bwi_fair,0,407.6,0.7493670886075948,4.192211553999982,,,0.7836363636363636,0.7530413625304134,0.7493670886075948,0.7817460317460317,0.7615384615384617,0.7628571428571427
