sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
beta,0.0,kkt_greedy,0,152.16666666666666,0.8892857142857145,0.21617020499979844,20,100,0.9153439153439155,0.8892857142857145,0.9122448979591836
beta,0.0,fair_greedy,0,150.23333333333332,0.8829931972789118,0.14345467399971312,20,100,0.9074074074074076,0.8892857142857143,0.8829931972789118
beta,0.0,imm,0,154.33333333333334,0.9095238095238096,0.15541860000030283,20,100,0.9201058201058202,0.9250000000000002,0.9095238095238096
beta,0.0,robust_kempe,0,149.83333333333334,0.8898809523809526,0.14287275800006682,12,60,0.8947089947089949,0.8898809523809526,0.8904761904761904
beta,0.0,mf_bwi_fair,0,153.93333333333334,0.9095238095238095,1.494124200999977,,,0.9190476190476191,0.9190476190476192,0.9095238095238095
beta,0.0,repeated_greedy,0,153.33333333333334,0.8931972789115646,23.61564892000024,,,0.9253968253968254,0.9154761904761907,0.8931972789115646
beta,0.1,kkt_greedy,0,144.0,0.8398809523809522,0.134110788000271,20,100,0.8714285714285717,0.8398809523809522,0.8585034013605441
beta,0.1,fair_greedy,0,147.66666666666666,0.8666666666666666,0.13239541899974938,20,100,0.8878306878306879,0.8666666666666666,0.8816326530612244
beta,0.1,imm,0,149.53333333333333,0.8738095238095237,0.13779223900019133,20,100,0.8978835978835981,0.8738095238095237,0.8986394557823131
beta,0.1,robust_kempe,0,142.83333333333334,0.8367346938775508,0.1277095069999632,12,60,0.8550264550264551,0.8565476190476193,0.8367346938775508
beta,0.1,mf_bwi_fair,0,147.5,0.8738095238095238,1.4369049870001618,,,0.8751322751322752,0.8738095238095238,0.8863945578231293
beta,0.1,repeated_greedy,0,149.53333333333333,0.8816326530612245,23.334448900000098,,,0.8947089947089947,0.8922619047619048,0.8816326530612245
beta,0.2,kkt_greedy,0,139.9,0.8202380952380952,0.13011392099997465,20,100,0.8386243386243388,0.8202380952380952,0.839455782312925
beta,0.2,fair_greedy,0,136.86666666666667,0.8063492063492066,0.13356666000026962,20,100,0.8063492063492066,0.806547619047619,0.8346938775510204
beta,0.2,imm,0,140.93333333333334,0.8190476190476194,0.12460823800029175,20,100,0.8190476190476194,0.831547619047619,0.8727891156462582
beta,0.2,robust_kempe,0,137.96666666666667,0.8047619047619048,0.1326968999997007,12,60,0.8232804232804235,0.8333333333333333,0.8047619047619048
beta,0.2,mf_bwi_fair,0,147.5,0.8678571428571431,1.5040599570002087,,,0.8772486772486773,0.8678571428571431,0.8904761904761905
beta,0.2,repeated_greedy,0,145.73333333333332,0.8442176870748298,22.38064195800007,,,0.8841269841269843,0.8690476190476192,0.8442176870748298
beta,0.3,kkt_greedy,0,136.56666666666666,0.7922619047619046,0.11808121400008531,20,100,0.8291005291005293,0.7922619047619046,0.8156462585034012
